cond,ocond,norm,onorm,name,GMRES niters sp,GMRES niters 64 16,GMRES niters 64 32,GMRES time sp,GMRES time 64 16,GMRES time 64 32,CLASSICAL GMRES niters sp,CLASSICAL GMRES niters 64 16,CLASSICAL GMRES niters 64 32,CLASSICAL GMRES time sp,CLASSICAL GMRES time 64 16,CLASSICAL GMRES time 64 32,CLASSICAL niters sp,CLASSICAL niters 64 16,CLASSICAL niters 64 32,CLASSICAL time sp,CLASSICAL time 64 16,CLASSICAL time 64 32
19890.118630643854,$O(10^{4})$,10247.90564554023,$O(10^{4})$,Bai/af23560,1,4,2,0.29821,0.25581,0.31793,0,4,2,0.29414,0.26201,0.32443,0,3,2,0.29449,0.25462,0.31918
370868.18613799685,$O(10^{5})$,9828359.657298872,$O(10^{6})$,Engwirda/airfoil_2d,1,--,3,0.1039,0.36877,0.1073,0,--,2,0.10218,0.3702,0.10702,0,--,2,0.10162,0.34147,0.10507
171.30620378104746,$O(10^{2})$,293.50271161600216,$O(10^{2})$,Simon/appu,1,4,3,0.10313,0.12479,0.10416,0,4,2,0.10098,0.12712,0.10444,0,3,2,0.10095,0.12161,0.10205
11.017478509562354,$O(10^{1})$,72.55775808264508,$O(10^{1})$,vanHeukelum/cage10,1,3,3,0.07636,0.0987,0.07119,0,2,2,0.07481,0.09881,0.07129,0,2,2,0.07487,0.09637,0.06985
180312.45101869042,$O(10^{5})$,6.293889429929741,$O(10^{0})$,Oberwolfach/chipcool1,1,9,3,0.20864,0.22087,0.2216,0,6,1,0.20542,0.21506,0.21757,0,5,1,0.20548,0.21017,0.21554
163.46420441910945,$O(10^{2})$,15.668124983280576,$O(10^{1})$,Averous/epb1,1,4,3,0.11165,0.13772,0.11542,0,2,1,0.10893,0.1355,0.11182,0,3,1,0.10881,0.13295,0.11022
165371.1617775158,$O(10^{5})$,107.58009345092431,$O(10^{2})$,Botonakis/FEM_3D_thermal1,1,7,4,0.16299,0.1835,0.17347,0,6,2,0.16029,0.18432,0.16994,0,9,2,0.16011,0.18767,0.16786
1.0837507284134518e+18,$O(10^{18})$,190.722691538579,$O(10^{2})$,Oberwolfach/inlet,1,20,5,0.07372,0.14311,0.07813,0,50,50,0.07158,0.21971,0.18622,0,14,2,0.07193,0.12827,0.07288
4285298.813427489,$O(10^{6})$,2120.701382946737,$O(10^{3})$,Hollinger/jan99jac040sc,1,13,4,0.09722,0.14816,0.10166,0,14,2,0.09566,0.15253,0.09927,0,22,2,0.09514,0.16554,0.09779
138658836.15965825,$O(10^{8})$,35.107150162077644,$O(10^{1})$,FEMLAB/ns3Da,1,*,1,0.22707,0.44664,0.29036,0,*,0,0.22396,0.44508,0.233,0,*,0,0.22366,0.44669,0.23325
19.166163571938924,$O(10^{1})$,51.57579350205774,$O(10^{1})$,FEMLAB/poisson3Da,1,4,3,0.09696,0.12087,0.09751,0,3,2,0.09491,0.12104,0.09773,0,3,2,0.09485,0.11641,0.09561
6188.121189178717,$O(10^{3})$,10.440119660051314,$O(10^{1})$,Wang/wang3,1,6,4,0.37343,0.308,0.41096,0,4,2,0.36837,0.30573,0.40505,0,5,2,0.36794,0.30353,0.401
402611.11589698994,$O(10^{5})$,5.669162704505131,$O(10^{0})$,Wang/wang4,2,10,3,0.37919,0.33014,0.40703,0,11,1,0.36869,0.34184,0.40101,0,*,0,0.37121,0.70607,0.39447
286.1259191604769,$O(10^{2})$,134.51931731229234,$O(10^{2})$,Zhao/Zhao1,1,4,3,0.87683,0.46495,0.78828,0,4,1,0.86858,0.4772,0.78007,0,3,1,0.86821,0.45768,0.7737
11071.284017888616,$O(10^{4})$,133.45927337269327,$O(10^{2})$,Zhao/Zhao2,2,9,4,0.88857,0.52915,0.79777,0,9,2,0.87192,0.54709,0.78949,0,7,2,0.87183,0.51435,0.78314
